date,from,to,code,gsp,region_name,unit_rate_excl_vat,unit_rate_incl_vat
2019-01-01,00:00:00,00:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,12.52,13.146
2019-01-01,00:30:00,01:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,14,14.7
2019-01-01,01:30:00,02:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,11.76,12.348
2019-01-01,02:00:00,02:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,10,10.5
2019-01-01,02:30:00,03:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,9.92,10.416
2019-01-01,03:00:00,03:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,9.76,10.248
2019-01-01,03:30:00,04:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,8.56,8.988
2019-01-01,04:00:00,04:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,10.2,10.71
2019-01-01,04:30:00,05:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,9.84,10.332
2019-01-01,05:00:00,05:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,9.16,9.618
2019-01-01,05:30:00,06:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,10.2,10.71
2019-01-01,06:00:00,06:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,10.2,10.71
2019-01-01,06:30:00,07:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,10.2,10.71
2019-01-01,07:00:00,07:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,6.8,7.14
2019-01-01,07:30:00,08:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,6.8,7.14
2019-01-01,08:00:00,08:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,6.96,7.308
2019-01-01,08:30:00,09:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,8.76,9.198
2019-01-01,09:00:00,09:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,9.8,10.29
2019-01-01,09:30:00,10:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,10.22,10.731
2019-01-01,10:00:00,10:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,12.4,13.02
2019-01-01,10:30:00,11:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,11.42,11.991
2019-01-01,11:00:00,11:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,10.82,11.361
2019-01-01,11:30:00,12:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,10.2,10.71
2019-01-01,12:00:00,12:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,11.88,12.474
2019-01-01,12:30:00,13:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,11.48,12.054
2019-01-01,13:00:00,13:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,12.84,13.482
2019-01-01,13:30:00,14:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,12.84,13.482
2019-01-01,14:00:00,14:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,13.6,14.28
2019-01-01,14:30:00,15:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,13.6,14.28
2019-01-01,15:00:00,15:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,9.56,10.038
2019-01-01,15:30:00,16:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,10.06,10.563
2019-01-01,16:00:00,16:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,27.2,28.56
2019-01-01,16:30:00,17:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,29.2,30.66
2019-01-01,17:00:00,17:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,30.92,32.466
2019-01-01,17:30:00,18:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,30,31.5
2019-01-01,18:00:00,18:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,28.32,29.736
2019-01-01,18:30:00,19:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,27.6,28.98
2019-01-01,19:00:00,19:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,14.4,15.12
2019-01-01,19:30:00,20:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,13.6,14.28
2019-01-01,20:00:00,20:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,12.26,12.873
2019-01-01,20:30:00,21:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,11.6,12.18
2019-01-01,21:00:00,21:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,10.6,11.13
2019-01-01,21:30:00,22:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,10.26,10.773
2019-01-01,22:00:00,22:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,10.6,11.13
2019-01-01,22:30:00,23:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,9.38,9.849
2019-01-01,23:00:00,23:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,9.56,10.038
2019-01-01,23:30:00,00:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,9.36,9.828
2019-01-01,01:00:00,01:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,13,13.65
2019-01-02,00:30:00,01:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,10.2,10.71
2019-01-02,01:00:00,01:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,9.92,10.416
2019-01-02,02:00:00,02:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,9.8,10.29
2019-01-02,02:30:00,03:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,9.6,10.08
2019-01-02,03:00:00,03:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,9.7,10.185
2019-01-02,03:30:00,04:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,9,9.45
2019-01-02,04:00:00,04:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,9.36,9.828
2019-01-02,04:30:00,05:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,9.12,9.576
2019-01-02,05:00:00,05:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,9,9.45
2019-01-02,05:30:00,06:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,9.62,10.101
2019-01-02,06:00:00,06:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,10.6,11.13
2019-01-02,06:30:00,07:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,10.6,11.13
2019-01-02,07:00:00,07:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,10.1,10.605
2019-01-02,07:30:00,08:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,10.4,10.92
2019-01-02,08:00:00,08:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,11.12,11.676
2019-01-02,08:30:00,09:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,12.2,12.81
2019-01-02,09:00:00,09:30:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,12.8,13.44
2019-01-02,09:30:00,10:00:00,E-1R-AGILE-18-02-21-B,_B,EastMidlands,12.8,13.44
