date,from,to,code,region_name,unit_rate_excl_vat,unit_rate_incl_vat
2019-01-01,00:00:00,00:30:00,E-1R-AGILE-18-02-21-A,Eastern,13.15,13.8075
2019-01-01,00:30:00,01:00:00,E-1R-AGILE-18-02-21-A,Eastern,14.7,15.435
2019-01-01,01:30:00,02:00:00,E-1R-AGILE-18-02-21-A,Eastern,12.35,12.9675
2019-01-01,02:00:00,02:30:00,E-1R-AGILE-18-02-21-A,Eastern,10.5,11.025
2019-01-01,02:30:00,03:00:00,E-1R-AGILE-18-02-21-A,Eastern,10.42,10.941
2019-01-01,03:00:00,03:30:00,E-1R-AGILE-18-02-21-A,Eastern,10.25,10.7625
2019-01-01,03:30:00,04:00:00,E-1R-AGILE-18-02-21-A,Eastern,8.99,9.4395
2019-01-01,04:00:00,04:30:00,E-1R-AGILE-18-02-21-A,Eastern,10.71,11.2455
2019-01-01,04:30:00,05:00:00,E-1R-AGILE-18-02-21-A,Eastern,10.33,10.8465
2019-01-01,05:00:00,05:30:00,E-1R-AGILE-18-02-21-A,Eastern,9.62,10.101
2019-01-01,05:30:00,06:00:00,E-1R-AGILE-18-02-21-A,Eastern,10.71,11.2455
2019-01-01,06:00:00,06:30:00,E-1R-AGILE-18-02-21-A,Eastern,10.71,11.2455
2019-01-01,06:30:00,07:00:00,E-1R-AGILE-18-02-21-A,Eastern,10.71,11.2455
2019-01-01,07:00:00,07:30:00,E-1R-AGILE-18-02-21-A,Eastern,7.14,7.497
2019-01-01,07:30:00,08:00:00,E-1R-AGILE-18-02-21-A,Eastern,7.14,7.497
2019-01-01,08:00:00,08:30:00,E-1R-AGILE-18-02-21-A,Eastern,7.31,7.6755
2019-01-01,08:30:00,09:00:00,E-1R-AGILE-18-02-21-A,Eastern,9.2,9.66
2019-01-01,09:00:00,09:30:00,E-1R-AGILE-18-02-21-A,Eastern,10.29,10.8045
2019-01-01,09:30:00,10:00:00,E-1R-AGILE-18-02-21-A,Eastern,10.73,11.2665
2019-01-01,10:00:00,10:30:00,E-1R-AGILE-18-02-21-A,Eastern,13.02,13.671
2019-01-01,10:30:00,11:00:00,E-1R-AGILE-18-02-21-A,Eastern,11.99,12.5895
2019-01-01,11:00:00,11:30:00,E-1R-AGILE-18-02-21-A,Eastern,11.36,11.928
2019-01-01,11:30:00,12:00:00,E-1R-AGILE-18-02-21-A,Eastern,10.71,11.2455
2019-01-01,12:00:00,12:30:00,E-1R-AGILE-18-02-21-A,Eastern,12.47,13.0935
2019-01-01,12:30:00,13:00:00,E-1R-AGILE-18-02-21-A,Eastern,12.05,12.6525
2019-01-01,13:00:00,13:30:00,E-1R-AGILE-18-02-21-A,Eastern,13.48,14.154
2019-01-01,13:30:00,14:00:00,E-1R-AGILE-18-02-21-A,Eastern,13.48,14.154
2019-01-01,14:00:00,14:30:00,E-1R-AGILE-18-02-21-A,Eastern,14.28,14.994
2019-01-01,14:30:00,15:00:00,E-1R-AGILE-18-02-21-A,Eastern,14.28,14.994
2019-01-01,15:00:00,15:30:00,E-1R-AGILE-18-02-21-A,Eastern,10.04,10.542
2019-01-01,15:30:00,16:00:00,E-1R-AGILE-18-02-21-A,Eastern,10.56,11.088
2019-01-01,16:00:00,16:30:00,E-1R-AGILE-18-02-21-A,Eastern,26.86,28.203
2019-01-01,16:30:00,17:00:00,E-1R-AGILE-18-02-21-A,Eastern,28.96,30.408
2019-01-01,17:00:00,17:30:00,E-1R-AGILE-18-02-21-A,Eastern,30.77,32.3085
2019-01-01,17:30:00,18:00:00,E-1R-AGILE-18-02-21-A,Eastern,29.8,31.29
2019-01-01,18:00:00,18:30:00,E-1R-AGILE-18-02-21-A,Eastern,28.04,29.442
2019-01-01,18:30:00,19:00:00,E-1R-AGILE-18-02-21-A,Eastern,27.28,28.644
2019-01-01,19:00:00,19:30:00,E-1R-AGILE-18-02-21-A,Eastern,15.12,15.876
2019-01-01,19:30:00,20:00:00,E-1R-AGILE-18-02-21-A,Eastern,14.28,14.994
2019-01-01,20:00:00,20:30:00,E-1R-AGILE-18-02-21-A,Eastern,12.87,13.5135
2019-01-01,20:30:00,21:00:00,E-1R-AGILE-18-02-21-A,Eastern,12.18,12.789
2019-01-01,21:00:00,21:30:00,E-1R-AGILE-18-02-21-A,Eastern,11.13,11.6865
