date,from,to,code,region_name,unit_rate_excl_vat,unit_rate_incl_vat
2019-01-01,00:00:00,00:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,15.02,15.771
2019-01-01,00:30:00,01:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,16.8,17.64
2019-01-01,01:30:00,02:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,14.11,14.8155
2019-01-01,02:00:00,02:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,12,12.6
2019-01-01,02:30:00,03:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,11.9,12.495
2019-01-01,03:00:00,03:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,11.71,12.2955
2019-01-01,03:30:00,04:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,10.27,10.7835
2019-01-01,04:00:00,04:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,12.24,12.852
2019-01-01,04:30:00,05:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,11.81,12.4005
2019-01-01,05:00:00,05:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,10.99,11.5395
2019-01-01,05:30:00,06:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,12.24,12.852
2019-01-01,06:00:00,06:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,12.24,12.852
2019-01-01,06:30:00,07:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,12.24,12.852
2019-01-01,07:00:00,07:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,8.16,8.568
2019-01-01,07:30:00,08:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,8.16,8.568
2019-01-01,08:00:00,08:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,8.35,8.7675
2019-01-01,08:30:00,09:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,10.51,11.0355
2019-01-01,09:00:00,09:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,11.76,12.348
2019-01-01,09:30:00,10:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,12.26,12.873
2019-01-01,10:00:00,10:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,14.88,15.624
2019-01-01,10:30:00,11:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,13.7,14.385
2019-01-01,11:00:00,11:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,12.98,13.629
2019-01-01,11:30:00,12:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,12.24,12.852
2019-01-01,12:00:00,12:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,14.26,14.973
2019-01-01,12:30:00,13:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,13.78,14.469
2019-01-01,13:00:00,13:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,15.41,16.1805
2019-01-01,13:30:00,14:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,15.41,16.1805
2019-01-01,14:00:00,14:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,16.32,17.136
2019-01-01,14:30:00,15:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,16.32,17.136
2019-01-01,15:00:00,15:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,11.47,12.0435
2019-01-01,15:30:00,16:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,12.07,12.6735
2019-01-01,16:00:00,16:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,27.84,29.232
2019-01-01,16:30:00,17:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,30.24,31.752
2019-01-01,17:00:00,17:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,32.3,33.915
2019-01-01,17:30:00,18:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,31.2,32.76
2019-01-01,18:00:00,18:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,29.18,30.639
2019-01-01,18:30:00,19:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,28.32,29.736
2019-01-01,19:00:00,19:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,17.28,18.144
2019-01-01,19:30:00,20:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,16.32,17.136
2019-01-01,20:00:00,20:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,14.71,15.4455
2019-01-01,20:30:00,21:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,13.92,14.616
2019-01-01,21:00:00,21:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,12.72,13.356
2019-01-01,21:30:00,22:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,12.31,12.9255
2019-01-01,22:00:00,22:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,12.72,13.356
2019-01-01,22:30:00,23:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,11.26,11.823
2019-01-01,23:00:00,23:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,11.47,12.0435
2019-01-01,23:30:00,00:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,11.23,11.7915
2019-01-01,01:00:00,01:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,15.6,16.38
2019-01-02,00:30:00,01:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,12.24,12.852
2019-01-02,01:00:00,01:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,11.9,12.495
2019-01-02,02:00:00,02:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,11.76,12.348
2019-01-02,02:30:00,03:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,11.52,12.096
2019-01-02,03:00:00,03:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,11.64,12.222
2019-01-02,03:30:00,04:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,10.8,11.34
2019-01-02,04:00:00,04:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,11.23,11.7915
2019-01-02,04:30:00,05:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,10.94,11.487
2019-01-02,05:00:00,05:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,10.8,11.34
2019-01-02,05:30:00,06:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,11.54,12.117
2019-01-02,06:00:00,06:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,12.72,13.356
2019-01-02,06:30:00,07:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,12.72,13.356
2019-01-02,07:00:00,07:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,12.12,12.726
2019-01-02,07:30:00,08:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,12.48,13.104
2019-01-02,08:00:00,08:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,13.34,14.007
2019-01-02,08:30:00,09:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,14.64,15.372
2019-01-02,09:00:00,09:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,15.36,16.128
2019-01-02,09:30:00,10:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,15.36,16.128
2019-01-02,10:00:00,10:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,15.84,16.632
2019-01-02,10:30:00,11:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,15.74,16.527
2019-01-02,11:00:00,11:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,15.62,16.401
2019-01-02,11:30:00,12:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,15.62,16.401
2019-01-02,12:00:00,12:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,16.25,17.0625
2019-01-02,12:30:00,13:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,15.84,16.632
2019-01-02,13:00:00,13:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,15.6,16.38
2019-01-02,13:30:00,14:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,15.36,16.128
2019-01-02,14:00:00,14:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,14.88,15.624
2019-01-02,14:30:00,15:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,14.88,15.624
2019-01-02,15:00:00,15:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,14.4,15.12
2019-01-02,15:30:00,16:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,15.74,16.527
2019-01-02,16:00:00,16:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,29.64,31.122
2019-01-02,16:30:00,17:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,33.33,34.9965
2019-01-02,17:00:00,17:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,33.33,34.9965
2019-01-02,17:30:00,18:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,33.33,34.9965
2019-01-02,18:00:00,18:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,33.33,34.9965
2019-01-02,18:30:00,19:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,31.92,33.516
2019-01-02,19:00:00,19:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,21.36,22.428
2019-01-02,19:30:00,20:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,18.72,19.656
2019-01-02,20:00:00,20:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,16.8,17.64
2019-01-02,20:30:00,21:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,15.6,16.38
2019-01-02,21:00:00,21:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,14.74,15.477
2019-01-02,21:30:00,22:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,12.72,13.356
2019-01-02,22:00:00,22:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,12.72,13.356
2019-01-02,22:30:00,23:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,12.48,13.104
2019-01-02,23:00:00,23:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,12.67,13.3035
2019-01-02,23:30:00,00:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,14.16,14.868
2019-01-02,00:00:00,00:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,11.76,12.348
2019-01-02,01:30:00,02:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,11.76,12.348
2019-01-03,01:00:00,01:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,14.4,15.12
2019-01-03,13:00:00,13:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,16.56,17.388
2019-01-03,02:00:00,02:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,14.16,14.868
2019-01-03,02:30:00,03:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,14.16,14.868
2019-01-03,03:00:00,03:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,13.2,13.86
2019-01-03,03:30:00,04:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,13.2,13.86
2019-01-03,04:00:00,04:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,13.2,13.86
2019-01-03,04:30:00,05:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,13.2,13.86
2019-01-03,05:00:00,05:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,13.2,13.86
2019-01-03,05:30:00,06:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,13.2,13.86
2019-01-03,06:00:00,06:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,14.64,15.372
2019-01-03,06:30:00,07:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,14.02,14.721
2019-01-03,07:00:00,07:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,14.54,15.267
2019-01-03,07:30:00,08:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,18.24,19.152
2019-01-03,08:00:00,08:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,18.72,19.656
2019-01-03,08:30:00,09:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,18.94,19.887
2019-01-03,09:00:00,09:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,19.34,20.307
2019-01-03,09:30:00,10:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,19.2,20.16
2019-01-03,10:00:00,10:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,18.6,19.53
2019-01-03,10:30:00,11:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,18,18.9
2019-01-03,11:00:00,11:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,17.16,18.018
2019-01-03,11:30:00,12:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,17.23,18.0915
2019-01-03,12:00:00,12:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,17.23,18.0915
2019-01-03,12:30:00,13:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,16.97,17.8185
2019-01-03,00:30:00,01:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,14.4,15.12
2019-01-03,13:30:00,14:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,16.8,17.64
2019-01-03,14:00:00,14:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,15.62,16.401
2019-01-03,14:30:00,15:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,16.32,17.136
2019-01-03,15:00:00,15:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,18,18.9
2019-01-03,15:30:00,16:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,18.94,19.887
2019-01-03,16:00:00,16:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,32.35,33.9675
2019-01-03,16:30:00,17:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,33.33,34.9965
2019-01-03,17:00:00,17:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,33.33,34.9965
2019-01-03,17:30:00,18:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,33.33,34.9965
2019-01-03,18:00:00,18:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,33.33,34.9965
2019-01-03,18:30:00,19:00:00,E-1R-AGILE-18-02-21-P,NorthScotland,33.33,34.9965
2019-01-03,19:00:00,19:30:00,E-1R-AGILE-18-02-21-P,NorthScotland,22.08,23.184
