date,from,to,code,gsp,region_name,unit_rate_excl_vat,unit_rate_incl_vat
2019-01-01,00:00:00,00:30:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,13.77,14.4585
2019-01-01,00:30:00,01:00:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,15.4,16.17
2019-01-01,01:30:00,02:00:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,12.94,13.587
2019-01-01,02:00:00,02:30:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,11,11.55
2019-01-01,02:30:00,03:00:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,10.91,11.4555
2019-01-01,03:00:00,03:30:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,10.74,11.277
2019-01-01,03:30:00,04:00:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,9.42,9.891
2019-01-01,04:00:00,04:30:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,11.22,11.781
2019-01-01,04:30:00,05:00:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,10.82,11.361
2019-01-01,05:00:00,05:30:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,10.08,10.584
2019-01-01,05:30:00,06:00:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,11.22,11.781
2019-01-01,06:00:00,06:30:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,11.22,11.781
2019-01-01,06:30:00,07:00:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,11.22,11.781
2019-01-01,07:00:00,07:30:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,7.48,7.854
2019-01-01,07:30:00,08:00:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,7.48,7.854
2019-01-01,08:00:00,08:30:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,7.66,8.043
2019-01-01,08:30:00,09:00:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,9.64,10.122
2019-01-01,09:00:00,09:30:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,10.78,11.319
2019-01-01,09:30:00,10:00:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,11.24,11.802
2019-01-01,10:00:00,10:30:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,13.64,14.322
2019-01-01,10:30:00,11:00:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,12.56,13.188
2019-01-01,11:00:00,11:30:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,11.9,12.495
2019-01-01,11:30:00,12:00:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,11.22,11.781
2019-01-01,12:00:00,12:30:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,13.07,13.7235
2019-01-01,12:30:00,13:00:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,12.63,13.2615
2019-01-01,13:00:00,13:30:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,14.12,14.826
2019-01-01,13:30:00,14:00:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,14.12,14.826
2019-01-01,14:00:00,14:30:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,14.96,15.708
2019-01-01,14:30:00,15:00:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,14.96,15.708
2019-01-01,15:00:00,15:30:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,10.52,11.046
2019-01-01,15:30:00,16:00:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,11.07,11.6235
2019-01-01,16:00:00,16:30:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,26.52,27.846
2019-01-01,16:30:00,17:00:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,28.72,30.156
2019-01-01,17:00:00,17:30:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,30.61,32.1405
2019-01-01,17:30:00,18:00:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,29.6,31.08
2019-01-01,18:00:00,18:30:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,27.75,29.1375
2019-01-01,18:30:00,19:00:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,26.96,28.308
2019-01-01,19:00:00,19:30:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,15.84,16.632
2019-01-01,19:30:00,20:00:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,14.96,15.708
2019-01-01,20:00:00,20:30:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,13.49,14.1645
2019-01-01,20:30:00,21:00:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,12.76,13.398
2019-01-01,21:00:00,21:30:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,11.66,12.243
2019-01-01,21:30:00,22:00:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,11.29,11.8545
2019-01-01,22:00:00,22:30:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,11.66,12.243
2019-01-01,22:30:00,23:00:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,10.32,10.836
2019-01-01,23:00:00,23:30:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,10.52,11.046
2019-01-01,23:30:00,00:00:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,10.3,10.815
2019-01-01,01:00:00,01:30:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,14.3,15.015
2019-01-02,00:30:00,01:00:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,11.22,11.781
2019-01-02,01:00:00,01:30:00,E-1R-AGILE-18-02-21-K,_K,SouthWales,10.91,11.4555
