date,from,to,code,gsp,region_name,unit_rate_excl_vat,unit_rate_incl_vat
2019-01-01,00:00:00,00:30:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,14.4,15.12
2019-01-01,00:30:00,01:00:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,16.1,16.905
2019-01-01,01:30:00,02:00:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,13.52,14.196
2019-01-01,02:00:00,02:30:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,11.5,12.075
2019-01-01,02:30:00,03:00:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,11.41,11.9805
2019-01-01,03:00:00,03:30:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,11.22,11.781
2019-01-01,03:30:00,04:00:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,9.84,10.332
2019-01-01,04:00:00,04:30:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,11.73,12.3165
2019-01-01,04:30:00,05:00:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,11.32,11.886
2019-01-01,05:00:00,05:30:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,10.53,11.0565
2019-01-01,05:30:00,06:00:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,11.73,12.3165
2019-01-01,06:00:00,06:30:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,11.73,12.3165
2019-01-01,06:30:00,07:00:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,11.73,12.3165
2019-01-01,07:00:00,07:30:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,7.82,8.211
2019-01-01,07:30:00,08:00:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,7.82,8.211
2019-01-01,08:00:00,08:30:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,8,8.4
2019-01-01,08:30:00,09:00:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,10.07,10.5735
2019-01-01,09:00:00,09:30:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,11.27,11.8335
2019-01-01,09:30:00,10:00:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,11.75,12.3375
2019-01-01,10:00:00,10:30:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,14.26,14.973
2019-01-01,10:30:00,11:00:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,13.13,13.7865
2019-01-01,11:00:00,11:30:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,12.44,13.062
2019-01-01,11:30:00,12:00:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,11.73,12.3165
2019-01-01,12:00:00,12:30:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,13.66,14.343
2019-01-01,12:30:00,13:00:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,13.2,13.86
2019-01-01,13:00:00,13:30:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,14.77,15.5085
2019-01-01,13:30:00,14:00:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,14.77,15.5085
2019-01-01,14:00:00,14:30:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,15.64,16.422
2019-01-01,14:30:00,15:00:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,15.64,16.422
2019-01-01,15:00:00,15:30:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,10.99,11.5395
2019-01-01,15:30:00,16:00:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,11.57,12.1485
2019-01-01,16:00:00,16:30:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,26.18,27.489
2019-01-01,16:30:00,17:00:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,28.48,29.904
2019-01-01,17:00:00,17:30:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,30.46,31.983
2019-01-01,17:30:00,18:00:00,E-1R-AGILE-18-02-21-L,_L,SouthWestern,29.4,30.87
